Date,Day of Week,Lecture Number,Start Time,End Time,Subject,Subject Code,Faculty ID,Semester,Branch,Section,Classroom,Total Enrolled Students,Students Present,Attendance Percentage,Previous Lecture Attendance,Gap Since Previous Lecture,Practical/Theory,Internal Test Week,Assignment Due,Holiday Before/After,Weather,Special Event,Faculty Experience,Time Category,Timetable Status,Data Source,Lecture Duration (Minutes),Day of Semester,Week Number,Month,Previous Attendance Rolling Average,Consecutive Lecture Count,Days Since Last Holiday,Exam Week Flag,Assignment Due Flag,Holiday Flag,Special Event Flag,Attendance Category
08-09-2025,Monday,1,9:15,10:15,Mini Project,ITP11,JSP_Visiting,1,MCA,A,403,103,78,75.73,0.0,0.0,Project,No,No,No,Rainy,No,9.2,Morning,Provided,Synthetic development data,60.0,1,37,9,,1,21.0,0,0,0,0,High
08-09-2025,Monday,2,10:15,11:15,Advanced DBMS,IT13,MST_DPY,1,MCA,A,403,103,74,71.84,75.73,1.0,Theory,No,No,No,Sunny,No,12.0,Morning,Provided,Synthetic development data,60.0,1,37,9,75.73,2,21.0,0,0,0,0,Medium
08-09-2025,Monday,3,11:15,12:15,Python Programming,IT11,AAB_SP,1,MCA,A,403,103,84,81.55,71.84,1.0,Theory,No,No,No,Sunny,Yes,5.8,Morning,Provided,Synthetic development data,60.0,1,37,9,73.785,3,21.0,0,0,0,1,High
08-09-2025,Monday,4,13:30,14:30,"Practical based on Python Programming, Data Structure and Algorithms and Advanced DBMS",ITL11,AAB_SP_ASP_RSZ_MST_DPY,1,MCA,A,401/402,103,90,87.38,81.55,2.25,Practical,No,No,No,Rainy,No,12.3,Afternoon,Provided,Synthetic development data,60.0,1,37,9,76.37333333333333,4,21.0,0,0,0,0,High
08-09-2025,Monday,5,14:30,15:30,Organizational Behavior,IT15,MPS_KSD,1,MCA,A,403,103,76,73.79,87.38,1.0,Theory,No,No,No,Cloudy,No,5.4,Afternoon,Provided,Synthetic development data,60.0,1,37,9,80.25666666666666,5,21.0,0,0,0,0,Medium
09-09-2025,Tuesday,1,9:15,10:15,Mini Project,ITP11,JSP_Visiting,1,MCA,A,403,103,73,70.87,73.79,18.75,Project,No,No,No,Rainy,No,2.3,Morning,Provided,Synthetic development data,60.0,2,37,9,80.90666666666668,1,21.0,0,0,0,0,Medium
09-09-2025,Tuesday,2,10:15,11:15,Organizational Behavior,IT15,MPS_KSD,1,MCA,A,403,103,80,77.67,70.87,1.0,Theory,No,Yes,No,Rainy,No,4.1,Morning,Provided,Synthetic development data,60.0,2,37,9,77.34666666666668,2,21.0,0,1,0,0,High
09-09-2025,Tuesday,3,11:15,12:15,Advanced DBMS,IT13,MST_DPY,1,MCA,A,403,103,76,73.79,77.67,1.0,Theory,No,No,No,Rainy,No,2.3,Morning,Provided,Synthetic development data,60.0,2,37,9,74.11,3,21.0,0,0,0,0,Medium
09-09-2025,Tuesday,4,13:30,14:30,"Practical based on Python Programming, Data Structure and Algorithms and Advanced DBMS",ITL11,AAB_SP_ASP_RSZ_MST_DPY,1,MCA,A,401/402,103,73,70.87,73.79,2.25,Practical,No,No,No,Sunny,No,14.3,Afternoon,Provided,Synthetic development data,60.0,2,37,9,74.11000000000001,4,21.0,0,0,0,0,Medium
09-09-2025,Tuesday,5,14:30,15:30,Advanced DBMS,IT13,MST_DPY,1,MCA,A,403,103,61,59.22,70.87,1.0,Theory,No,No,No,Rainy,No,15.0,Afternoon,Provided,Synthetic development data,60.0,2,37,9,74.11000000000001,5,21.0,0,0,0,0,Medium
